method,function,randomfailures,failfraction,n,0
GPEmGibbs,Borehole,False,0.01,50,20
GPEmGibbs,Borehole,False,0.01,100,20
GPEmGibbs,Borehole,False,0.01,250,20
GPEmGibbs,Borehole,False,0.01,1000,19
GPEmGibbs,Borehole,False,0.05,50,20
GPEmGibbs,Borehole,False,0.05,100,19
GPEmGibbs,Borehole,False,0.05,250,20
GPEmGibbs,Borehole,False,0.05,1000,19
GPEmGibbs,Borehole,False,0.25,50,20
GPEmGibbs,Borehole,False,0.25,100,19
GPEmGibbs,Borehole,False,0.25,250,19
GPEmGibbs,Borehole,False,0.25,1000,19
GPEmGibbs,Borehole,True,0.01,50,19
GPEmGibbs,Borehole,True,0.01,100,19
GPEmGibbs,Borehole,True,0.01,250,20
GPEmGibbs,Borehole,True,0.01,1000,19
GPEmGibbs,Borehole,True,0.05,50,19
GPEmGibbs,Borehole,True,0.05,100,19
GPEmGibbs,Borehole,True,0.05,250,20
GPEmGibbs,Borehole,True,0.05,1000,19
GPEmGibbs,Borehole,True,0.25,50,20
GPEmGibbs,Borehole,True,0.25,100,20
GPEmGibbs,Borehole,True,0.25,250,20
GPEmGibbs,Borehole,True,0.25,1000,20
GPEmGibbs,OTLcircuit,False,0.01,50,20
GPEmGibbs,OTLcircuit,False,0.01,100,20
GPEmGibbs,OTLcircuit,False,0.01,250,19
GPEmGibbs,OTLcircuit,False,0.01,1000,19
GPEmGibbs,OTLcircuit,False,0.01,2500,1
GPEmGibbs,OTLcircuit,False,0.05,50,20
GPEmGibbs,OTLcircuit,False,0.05,100,20
GPEmGibbs,OTLcircuit,False,0.05,250,19
GPEmGibbs,OTLcircuit,False,0.05,1000,20
GPEmGibbs,OTLcircuit,False,0.25,50,19
GPEmGibbs,OTLcircuit,False,0.25,100,19
GPEmGibbs,OTLcircuit,False,0.25,250,19
GPEmGibbs,OTLcircuit,False,0.25,1000,19
GPEmGibbs,OTLcircuit,False,0.25,2500,4
GPEmGibbs,OTLcircuit,True,0.01,50,19
GPEmGibbs,OTLcircuit,True,0.01,100,20
GPEmGibbs,OTLcircuit,True,0.01,250,19
GPEmGibbs,OTLcircuit,True,0.01,1000,20
GPEmGibbs,OTLcircuit,True,0.01,2500,1
GPEmGibbs,OTLcircuit,True,0.05,50,18
GPEmGibbs,OTLcircuit,True,0.05,100,19
GPEmGibbs,OTLcircuit,True,0.05,250,19
GPEmGibbs,OTLcircuit,True,0.05,1000,19
GPEmGibbs,OTLcircuit,True,0.05,2500,2
GPEmGibbs,OTLcircuit,True,0.25,50,20
GPEmGibbs,OTLcircuit,True,0.25,100,20
GPEmGibbs,OTLcircuit,True,0.25,250,20
GPEmGibbs,OTLcircuit,True,0.25,1000,20
GPEmGibbs,OTLcircuit,True,0.25,2500,5
GPEmGibbs,Piston,False,0.01,50,20
GPEmGibbs,Piston,False,0.01,100,20
GPEmGibbs,Piston,False,0.01,250,20
GPEmGibbs,Piston,False,0.01,1000,20
GPEmGibbs,Piston,False,0.05,50,19
GPEmGibbs,Piston,False,0.05,100,20
GPEmGibbs,Piston,False,0.05,250,20
GPEmGibbs,Piston,False,0.05,1000,19
GPEmGibbs,Piston,False,0.25,50,20
GPEmGibbs,Piston,False,0.25,100,20
GPEmGibbs,Piston,False,0.25,250,20
GPEmGibbs,Piston,False,0.25,1000,19
GPEmGibbs,Piston,True,0.01,50,19
GPEmGibbs,Piston,True,0.01,100,20
GPEmGibbs,Piston,True,0.01,250,19
GPEmGibbs,Piston,True,0.01,1000,20
GPEmGibbs,Piston,True,0.05,50,18
GPEmGibbs,Piston,True,0.05,100,19
GPEmGibbs,Piston,True,0.05,250,20
GPEmGibbs,Piston,True,0.05,1000,19
GPEmGibbs,Piston,True,0.25,50,20
GPEmGibbs,Piston,True,0.25,100,20
GPEmGibbs,Piston,True,0.25,250,20
GPEmGibbs,Piston,True,0.25,1000,20
GPEmGibbs,Wingweight,False,0.01,50,20
GPEmGibbs,Wingweight,False,0.01,100,20
GPEmGibbs,Wingweight,False,0.01,250,19
GPEmGibbs,Wingweight,False,0.01,1000,19
GPEmGibbs,Wingweight,False,0.05,50,20
GPEmGibbs,Wingweight,False,0.05,100,20
GPEmGibbs,Wingweight,False,0.05,250,20
GPEmGibbs,Wingweight,False,0.05,1000,20
GPEmGibbs,Wingweight,False,0.25,50,19
GPEmGibbs,Wingweight,False,0.25,100,19
GPEmGibbs,Wingweight,False,0.25,250,20
GPEmGibbs,Wingweight,False,0.25,1000,20
GPEmGibbs,Wingweight,True,0.01,50,19
GPEmGibbs,Wingweight,True,0.01,100,19
GPEmGibbs,Wingweight,True,0.01,250,19
GPEmGibbs,Wingweight,True,0.01,1000,19
GPEmGibbs,Wingweight,True,0.05,50,19
GPEmGibbs,Wingweight,True,0.05,100,19
GPEmGibbs,Wingweight,True,0.05,250,20
GPEmGibbs,Wingweight,True,0.05,1000,19
GPEmGibbs,Wingweight,True,0.25,50,20
GPEmGibbs,Wingweight,True,0.25,100,20
GPEmGibbs,Wingweight,True,0.25,250,20
GPEmGibbs,Wingweight,True,0.25,1000,20
GPy,Borehole,False,0.01,50,20
GPy,Borehole,False,0.01,100,20
GPy,Borehole,False,0.01,250,20
GPy,Borehole,False,0.05,50,20
GPy,Borehole,False,0.05,100,20
GPy,Borehole,False,0.05,250,20
GPy,Borehole,False,0.25,50,20
GPy,Borehole,False,0.25,100,20
GPy,Borehole,False,0.25,250,20
GPy,Borehole,True,0.01,50,26
GPy,Borehole,True,0.01,100,26
GPy,Borehole,True,0.01,250,26
GPy,Borehole,True,0.01,1000,6
GPy,Borehole,True,0.01,2500,6
GPy,Borehole,True,0.05,50,25
GPy,Borehole,True,0.05,100,25
GPy,Borehole,True,0.05,250,25
GPy,Borehole,True,0.05,1000,5
GPy,Borehole,True,0.05,2500,5
GPy,Borehole,True,0.25,50,24
GPy,Borehole,True,0.25,100,24
GPy,Borehole,True,0.25,250,24
GPy,Borehole,True,0.25,1000,4
GPy,Borehole,True,0.25,2500,4
GPy,OTLcircuit,False,0.01,50,20
GPy,OTLcircuit,False,0.01,100,20
GPy,OTLcircuit,False,0.01,250,20
GPy,OTLcircuit,False,0.05,50,20
GPy,OTLcircuit,False,0.05,100,20
GPy,OTLcircuit,False,0.05,250,20
GPy,OTLcircuit,False,0.05,2500,1
GPy,OTLcircuit,False,0.25,50,20
GPy,OTLcircuit,False,0.25,100,20
GPy,OTLcircuit,False,0.25,250,20
GPy,OTLcircuit,True,0.01,50,26
GPy,OTLcircuit,True,0.01,100,26
GPy,OTLcircuit,True,0.01,250,26
GPy,OTLcircuit,True,0.01,1000,6
GPy,OTLcircuit,True,0.01,2500,6
GPy,OTLcircuit,True,0.05,50,25
GPy,OTLcircuit,True,0.05,100,25
GPy,OTLcircuit,True,0.05,250,25
GPy,OTLcircuit,True,0.05,1000,5
GPy,OTLcircuit,True,0.05,2500,5
GPy,OTLcircuit,True,0.25,50,24
GPy,OTLcircuit,True,0.25,100,24
GPy,OTLcircuit,True,0.25,250,24
GPy,OTLcircuit,True,0.25,1000,4
GPy,OTLcircuit,True,0.25,2500,4
GPy,Piston,False,0.01,50,20
GPy,Piston,False,0.01,100,20
GPy,Piston,False,0.01,250,20
GPy,Piston,False,0.05,50,20
GPy,Piston,False,0.05,100,20
GPy,Piston,False,0.05,250,20
GPy,Piston,False,0.25,50,20
GPy,Piston,False,0.25,100,20
GPy,Piston,False,0.25,250,20
GPy,Piston,True,0.01,50,26
GPy,Piston,True,0.01,100,26
GPy,Piston,True,0.01,250,26
GPy,Piston,True,0.01,1000,6
GPy,Piston,True,0.01,2500,6
GPy,Piston,True,0.05,50,25
GPy,Piston,True,0.05,100,25
GPy,Piston,True,0.05,250,25
GPy,Piston,True,0.05,1000,5
GPy,Piston,True,0.05,2500,5
GPy,Piston,True,0.25,50,24
GPy,Piston,True,0.25,100,24
GPy,Piston,True,0.25,250,24
GPy,Piston,True,0.25,1000,4
GPy,Piston,True,0.25,2500,4
GPy,Wingweight,False,0.01,50,20
GPy,Wingweight,False,0.01,100,20
GPy,Wingweight,False,0.01,250,20
GPy,Wingweight,False,0.05,50,20
GPy,Wingweight,False,0.05,100,20
GPy,Wingweight,False,0.05,250,20
GPy,Wingweight,False,0.05,2500,1
GPy,Wingweight,False,0.25,50,20
GPy,Wingweight,False,0.25,100,20
GPy,Wingweight,False,0.25,250,20
GPy,Wingweight,True,0.01,50,26
GPy,Wingweight,True,0.01,100,26
GPy,Wingweight,True,0.01,250,26
GPy,Wingweight,True,0.01,1000,6
GPy,Wingweight,True,0.01,2500,6
GPy,Wingweight,True,0.05,50,25
GPy,Wingweight,True,0.05,100,25
GPy,Wingweight,True,0.05,250,25
GPy,Wingweight,True,0.05,1000,5
GPy,Wingweight,True,0.05,2500,5
GPy,Wingweight,True,0.25,50,24
GPy,Wingweight,True,0.25,100,24
GPy,Wingweight,True,0.25,250,24
GPy,Wingweight,True,0.25,1000,4
GPy,Wingweight,True,0.25,2500,4
PCGP_BR,Borehole,False,0.01,50,20
PCGP_BR,Borehole,False,0.01,100,20
PCGP_BR,Borehole,False,0.01,250,20
PCGP_BR,Borehole,False,0.01,1000,20
PCGP_BR,Borehole,False,0.05,50,20
PCGP_BR,Borehole,False,0.05,100,20
PCGP_BR,Borehole,False,0.05,250,20
PCGP_BR,Borehole,False,0.05,1000,20
PCGP_BR,Borehole,False,0.25,50,20
PCGP_BR,Borehole,False,0.25,100,20
PCGP_BR,Borehole,False,0.25,250,20
PCGP_BR,Borehole,False,0.25,1000,20
PCGP_BR,Borehole,True,0.01,50,20
PCGP_BR,Borehole,True,0.01,100,20
PCGP_BR,Borehole,True,0.01,250,20
PCGP_BR,Borehole,True,0.01,1000,20
PCGP_BR,Borehole,True,0.05,50,20
PCGP_BR,Borehole,True,0.05,100,20
PCGP_BR,Borehole,True,0.05,250,20
PCGP_BR,Borehole,True,0.05,1000,20
PCGP_BR,Borehole,True,0.25,50,20
PCGP_BR,Borehole,True,0.25,100,20
PCGP_BR,Borehole,True,0.25,250,20
PCGP_BR,Borehole,True,0.25,1000,20
PCGP_BR,OTLcircuit,False,0.01,50,20
PCGP_BR,OTLcircuit,False,0.01,100,20
PCGP_BR,OTLcircuit,False,0.01,250,20
PCGP_BR,OTLcircuit,False,0.01,1000,20
PCGP_BR,OTLcircuit,False,0.01,2500,20
PCGP_BR,OTLcircuit,False,0.05,50,20
PCGP_BR,OTLcircuit,False,0.05,100,20
PCGP_BR,OTLcircuit,False,0.05,250,20
PCGP_BR,OTLcircuit,False,0.05,1000,20
PCGP_BR,OTLcircuit,False,0.05,2500,3
PCGP_BR,OTLcircuit,False,0.25,50,20
PCGP_BR,OTLcircuit,False,0.25,100,20
PCGP_BR,OTLcircuit,False,0.25,250,20
PCGP_BR,OTLcircuit,False,0.25,1000,20
PCGP_BR,OTLcircuit,True,0.01,50,20
PCGP_BR,OTLcircuit,True,0.01,100,20
PCGP_BR,OTLcircuit,True,0.01,250,20
PCGP_BR,OTLcircuit,True,0.01,1000,20
PCGP_BR,OTLcircuit,True,0.01,2500,20
PCGP_BR,OTLcircuit,True,0.05,50,20
PCGP_BR,OTLcircuit,True,0.05,100,20
PCGP_BR,OTLcircuit,True,0.05,250,20
PCGP_BR,OTLcircuit,True,0.05,1000,20
PCGP_BR,OTLcircuit,True,0.05,2500,4
PCGP_BR,OTLcircuit,True,0.25,50,20
PCGP_BR,OTLcircuit,True,0.25,100,20
PCGP_BR,OTLcircuit,True,0.25,250,20
PCGP_BR,OTLcircuit,True,0.25,1000,20
PCGP_BR,Piston,False,0.01,50,20
PCGP_BR,Piston,False,0.01,100,20
PCGP_BR,Piston,False,0.01,250,20
PCGP_BR,Piston,False,0.01,1000,20
PCGP_BR,Piston,False,0.05,50,20
PCGP_BR,Piston,False,0.05,100,20
PCGP_BR,Piston,False,0.05,250,20
PCGP_BR,Piston,False,0.05,1000,20
PCGP_BR,Piston,False,0.25,50,20
PCGP_BR,Piston,False,0.25,100,20
PCGP_BR,Piston,False,0.25,250,20
PCGP_BR,Piston,False,0.25,1000,20
PCGP_BR,Piston,True,0.01,50,20
PCGP_BR,Piston,True,0.01,100,20
PCGP_BR,Piston,True,0.01,250,20
PCGP_BR,Piston,True,0.01,1000,20
PCGP_BR,Piston,True,0.05,50,20
PCGP_BR,Piston,True,0.05,100,20
PCGP_BR,Piston,True,0.05,250,20
PCGP_BR,Piston,True,0.05,1000,20
PCGP_BR,Piston,True,0.25,50,20
PCGP_BR,Piston,True,0.25,100,20
PCGP_BR,Piston,True,0.25,250,20
PCGP_BR,Piston,True,0.25,1000,20
PCGP_BR,Wingweight,False,0.01,50,20
PCGP_BR,Wingweight,False,0.01,100,20
PCGP_BR,Wingweight,False,0.01,250,20
PCGP_BR,Wingweight,False,0.01,1000,20
PCGP_BR,Wingweight,False,0.01,2500,20
PCGP_BR,Wingweight,False,0.05,50,20
PCGP_BR,Wingweight,False,0.05,100,20
PCGP_BR,Wingweight,False,0.05,250,20
PCGP_BR,Wingweight,False,0.05,1000,20
PCGP_BR,Wingweight,False,0.05,2500,20
PCGP_BR,Wingweight,False,0.25,50,20
PCGP_BR,Wingweight,False,0.25,100,20
PCGP_BR,Wingweight,False,0.25,250,20
PCGP_BR,Wingweight,False,0.25,1000,20
PCGP_BR,Wingweight,False,0.25,2500,20
PCGP_BR,Wingweight,True,0.01,50,20
PCGP_BR,Wingweight,True,0.01,100,20
PCGP_BR,Wingweight,True,0.01,250,20
PCGP_BR,Wingweight,True,0.01,1000,20
PCGP_BR,Wingweight,True,0.01,2500,20
PCGP_BR,Wingweight,True,0.05,50,20
PCGP_BR,Wingweight,True,0.05,100,20
PCGP_BR,Wingweight,True,0.05,250,20
PCGP_BR,Wingweight,True,0.05,1000,20
PCGP_BR,Wingweight,True,0.05,2500,20
PCGP_BR,Wingweight,True,0.25,50,20
PCGP_BR,Wingweight,True,0.25,100,20
PCGP_BR,Wingweight,True,0.25,250,20
PCGP_BR,Wingweight,True,0.25,1000,20
PCGP_KNN,Borehole,False,0.01,50,20
PCGP_KNN,Borehole,False,0.01,100,20
PCGP_KNN,Borehole,False,0.01,250,20
PCGP_KNN,Borehole,False,0.01,1000,20
PCGP_KNN,Borehole,False,0.05,50,20
PCGP_KNN,Borehole,False,0.05,100,20
PCGP_KNN,Borehole,False,0.05,250,20
PCGP_KNN,Borehole,False,0.05,1000,20
PCGP_KNN,Borehole,False,0.25,50,20
PCGP_KNN,Borehole,False,0.25,100,20
PCGP_KNN,Borehole,False,0.25,250,20
PCGP_KNN,Borehole,False,0.25,1000,20
PCGP_KNN,Borehole,True,0.01,50,20
PCGP_KNN,Borehole,True,0.01,100,20
PCGP_KNN,Borehole,True,0.01,250,20
PCGP_KNN,Borehole,True,0.01,1000,20
PCGP_KNN,Borehole,True,0.05,50,20
PCGP_KNN,Borehole,True,0.05,100,20
PCGP_KNN,Borehole,True,0.05,250,20
PCGP_KNN,Borehole,True,0.05,1000,20
PCGP_KNN,Borehole,True,0.25,50,19
PCGP_KNN,Borehole,True,0.25,100,19
PCGP_KNN,Borehole,True,0.25,250,19
PCGP_KNN,Borehole,True,0.25,1000,20
PCGP_KNN,OTLcircuit,False,0.01,50,20
PCGP_KNN,OTLcircuit,False,0.01,100,20
PCGP_KNN,OTLcircuit,False,0.01,250,20
PCGP_KNN,OTLcircuit,False,0.01,1000,20
PCGP_KNN,OTLcircuit,False,0.01,2500,20
PCGP_KNN,OTLcircuit,False,0.05,50,20
PCGP_KNN,OTLcircuit,False,0.05,100,20
PCGP_KNN,OTLcircuit,False,0.05,250,20
PCGP_KNN,OTLcircuit,False,0.05,1000,20
PCGP_KNN,OTLcircuit,False,0.05,2500,9
PCGP_KNN,OTLcircuit,False,0.25,50,20
PCGP_KNN,OTLcircuit,False,0.25,100,20
PCGP_KNN,OTLcircuit,False,0.25,250,20
PCGP_KNN,OTLcircuit,False,0.25,1000,20
PCGP_KNN,OTLcircuit,True,0.01,50,20
PCGP_KNN,OTLcircuit,True,0.01,100,20
PCGP_KNN,OTLcircuit,True,0.01,250,20
PCGP_KNN,OTLcircuit,True,0.01,1000,20
PCGP_KNN,OTLcircuit,True,0.01,2500,20
PCGP_KNN,OTLcircuit,True,0.05,50,20
PCGP_KNN,OTLcircuit,True,0.05,100,20
PCGP_KNN,OTLcircuit,True,0.05,250,20
PCGP_KNN,OTLcircuit,True,0.05,1000,20
PCGP_KNN,OTLcircuit,True,0.05,2500,3
PCGP_KNN,OTLcircuit,True,0.25,50,19
PCGP_KNN,OTLcircuit,True,0.25,100,19
PCGP_KNN,OTLcircuit,True,0.25,250,20
PCGP_KNN,OTLcircuit,True,0.25,1000,20
PCGP_KNN,Piston,False,0.01,50,20
PCGP_KNN,Piston,False,0.01,100,20
PCGP_KNN,Piston,False,0.01,250,20
PCGP_KNN,Piston,False,0.01,1000,20
PCGP_KNN,Piston,False,0.05,50,20
PCGP_KNN,Piston,False,0.05,100,20
PCGP_KNN,Piston,False,0.05,250,20
PCGP_KNN,Piston,False,0.05,1000,20
PCGP_KNN,Piston,False,0.25,50,20
PCGP_KNN,Piston,False,0.25,100,20
PCGP_KNN,Piston,False,0.25,250,20
PCGP_KNN,Piston,False,0.25,1000,20
PCGP_KNN,Piston,True,0.01,50,20
PCGP_KNN,Piston,True,0.01,100,20
PCGP_KNN,Piston,True,0.01,250,20
PCGP_KNN,Piston,True,0.01,1000,20
PCGP_KNN,Piston,True,0.05,50,20
PCGP_KNN,Piston,True,0.05,100,20
PCGP_KNN,Piston,True,0.05,250,20
PCGP_KNN,Piston,True,0.05,1000,20
PCGP_KNN,Piston,True,0.25,50,20
PCGP_KNN,Piston,True,0.25,100,19
PCGP_KNN,Piston,True,0.25,250,20
PCGP_KNN,Piston,True,0.25,1000,19
PCGP_KNN,Wingweight,False,0.01,50,20
PCGP_KNN,Wingweight,False,0.01,100,20
PCGP_KNN,Wingweight,False,0.01,250,20
